call_id,phone_number,receiver,starttimestamp,endtimestamp,direction
25,241-168-8259,227-100-2967,5/20/2018 5:51,5/20/2018 6:50,incoming
26,598-737-7459,614-619-2896,9/1/2017 14:34,9/1/2017 15:11,incoming
27,241-168-8259,598-737-7459,8/24/2018 18:25,8/24/2018 19:00,outgoing
28,598-737-7459,623-276-1104,4/9/2018 6:48,4/9/2018 6:48,missed call
29,123-110-9250,241-168-8259,4/26/2019 16:56,4/26/2019 17:36,incoming
30,398-674-8292,614-619-2896,6/29/2018 10:03,6/29/2018 10:08,incoming
31,237-547-1013,398-674-8292,3/17/2018 4:37,3/17/2018 4:37,missed call
32,123-110-9250,818-167-3374,4/7/2018 4:50,4/7/2018 4:56,outgoing
33,614-619-2896,985-935-9702,3/30/2018 0:13,3/30/2018 0:31,incoming
34,398-674-8292,237-547-1013,3/1/2017 0:08,3/1/2017 0:53,outgoing
35,985-935-9702,623-276-1104,6/2/2017 9:33,6/2/2017 9:33,missed call
36,237-547-1013,227-100-2967,11/8/2018 4:14,11/8/2018 4:16,incoming
37,818-167-3374,985-935-9702,1/19/2017 2:09,1/19/2017 2:53,outgoing
38,123-110-9250,241-168-8259,8/16/2017 16:17,8/16/2017 16:32,outgoing
39,123-110-9250,614-619-2896,2/12/2017 13:14,2/12/2017 13:14,missed call
40,241-168-8259,123-110-9250,1/9/2019 10:00,1/9/2019 10:00,missed call
41,818-167-3374,398-674-8292,2/5/2019 11:31,2/5/2019 11:31,missed call
42,623-276-1104,398-674-8292,8/7/2018 21:17,8/7/2018 21:17,missed call
43,598-737-7459,241-168-8259,6/17/2018 10:11,6/17/2018 10:58,outgoing
44,614-619-2896,623-276-1104,2/1/2019 12:35,2/1/2019 12:35,missed call
45,614-619-2896,123-110-9250,3/31/2019 9:31,3/31/2019 10:11,incoming
46,241-168-8259,237-547-1013,1/20/2018 7:55,1/20/2018 8:21,outgoing
47,237-547-1013,227-100-2967,11/16/2018 21:44,11/16/2018 22:24,incoming
48,623-276-1104,237-547-1013,3/28/2018 18:50,3/28/2018 18:50,missed call
49,614-619-2896,985-935-9702,2/3/2018 23:57,2/4/2018 0:18,outgoing
50,614-619-2896,598-737-7459,3/17/2019 5:23,3/17/2019 5:23,missed call
51,623-276-1104,398-674-8292,10/23/2018 6:33,10/23/2018 6:40,incoming
52,818-167-3374,985-935-9702,4/22/2017 7:09,4/22/2017 7:15,incoming
53,623-276-1104,241-168-8259,8/4/2017 9:57,8/4/2017 9:57,missed call
54,398-674-8292,123-110-9250,2/5/2018 14:24,2/5/2018 14:24,incoming
55,227-100-2967,241-168-8259,4/30/2019 7:40,4/30/2019 7:51,incoming
56,614-619-2896,241-168-8259,9/6/2018 7:16,9/6/2018 7:17,incoming
57,623-276-1104,398-674-8292,8/19/2018 3:45,8/19/2018 3:45,missed call
58,598-737-7459,985-935-9702,4/11/2017 2:31,4/11/2017 3:02,outgoing
59,623-276-1104,227-100-2967,2/15/2017 19:26,2/15/2017 19:44,outgoing
60,598-737-7459,614-619-2896,11/9/2017 19:47,11/9/2017 20:13,outgoing
61,818-167-3374,598-737-7459,1/4/2018 7:37,1/4/2018 8:12,outgoing
62,818-167-3374,398-674-8292,3/16/2018 7:37,3/16/2018 7:37,missed call
63,227-100-2967,818-167-3374,2/13/2017 19:04,2/13/2017 19:46,incoming
64,818-167-3374,623-276-1104,1/28/2018 11:08,1/28/2018 11:08,missed call
65,237-547-1013,818-167-3374,4/26/2019 11:12,4/26/2019 11:55,incoming
66,598-737-7459,614-619-2896,4/15/2018 11:11,4/15/2018 11:11,missed call
67,985-935-9702,623-276-1104,2/5/2017 14:57,2/5/2017 15:21,outgoing
68,227-100-2967,123-110-9250,4/8/2017 13:16,4/8/2017 14:06,incoming
69,227-100-2967,818-167-3374,3/23/2017 9:02,3/23/2017 9:02,missed call
70,598-737-7459,985-935-9702,9/25/2018 22:00,9/25/2018 22:00,missed call
71,241-168-8259,623-276-1104,4/22/2018 18:28,4/22/2018 18:28,missed call
72,985-935-9702,818-167-3374,5/5/2017 13:56,5/5/2017 13:56,missed call
73,623-276-1104,985-935-9702,10/18/2018 5:09,10/18/2018 5:09,missed call
74,598-737-7459,985-935-9702,5/20/2018 0:29,5/20/2018 0:59,outgoing
75,241-168-8259,614-619-2896,11/4/2017 18:52,11/4/2017 18:52,missed call
76,123-110-9250,237-547-1013,2/20/2019 12:21,2/20/2019 12:39,incoming
77,227-100-2967,985-935-9702,10/5/2017 3:47,10/5/2017 3:47,missed call
78,237-547-1013,123-110-9250,9/23/2018 18:56,9/23/2018 18:56,missed call
79,123-110-9250,241-168-8259,3/5/2017 9:00,3/5/2017 9:49,outgoing
80,123-110-9250,985-935-9702,11/27/2018 3:43,11/27/2018 3:43,missed call
81,614-619-2896,123-110-9250,3/8/2018 5:24,3/8/2018 5:55,incoming
82,623-276-1104,237-547-1013,7/17/2017 18:20,7/17/2017 18:49,incoming
83,227-100-2967,398-674-8292,2/19/2017 20:08,2/19/2017 20:08,missed call
84,237-547-1013,985-935-9702,11/12/2017 0:17,11/12/2017 0:30,incoming
85,623-276-1104,237-547-1013,10/1/2017 9:21,10/1/2017 9:21,missed call
86,398-674-8292,623-276-1104,5/16/2018 18:57,5/16/2018 19:56,outgoing
87,985-935-9702,614-619-2896,1/22/2017 23:25,1/23/2017 0:08,incoming
88,398-674-8292,614-619-2896,4/29/2019 15:40,4/29/2019 15:40,missed call
89,614-619-2896,818-167-3374,2/25/2018 5:42,2/25/2018 6:10,incoming
90,241-168-8259,123-110-9250,12/28/2018 0:55,12/28/2018 0:55,missed call
91,306-378-4644,194-638-8390,1/28/2017 9:08,1/28/2017 9:21,incoming
92,143-531-4623,846-756-5396,7/23/2018 3:15,7/23/2018 3:16,outgoing
93,306-378-4644,335-702-9515,3/3/2017 18:55,3/3/2017 18:55,missed call
94,965-184-6491,143-531-4623,4/9/2019 9:17,4/9/2019 9:45,outgoing
95,593-792-6975,221-352-4993,6/15/2017 15:02,6/15/2017 15:02,missed call
96,576-444-8440,965-184-6491,4/19/2019 19:57,4/19/2019 20:34,outgoing
97,335-702-9515,576-444-8440,4/6/2017 19:41,4/6/2017 19:41,missed call
98,965-184-6491,194-638-8390,6/29/2017 6:08,6/29/2017 6:31,incoming
99,232-739-6412,306-378-4644,11/24/2018 6:37,11/24/2018 7:14,incoming
100,143-531-4623,576-444-8440,10/26/2018 15:48,10/26/2018 16:15,incoming
