id,first_name,last_name,gender,birthdate,zipcode,city,state,active,region,connection_type,average_call_length,age
10019,Hal,Coward,Male,12/4/2000,29305,Spartanburg,South Carolina,FALSE,Southern,ported,33.27,18
10020,Regine,Llewellyn,Female,3/10/1955,90610,Whittier,California,TRUE,PacificCoastal,ported,51.62,64
10021,Drucie,Yeiles,Female,3/18/1970,10280,New York City,New York,TRUE,Mid-atlantic,new,43.49,49
10022,Opaline,Ride,Female,3/19/1957,38150,Memphis,Tennessee,FALSE,Southern,ported,30.15,62
10023,Gilli,Ginley,Female,12/17/1991,83405,Idaho Falls,Idaho,TRUE,RockyMountain,ported,41.7,27
10024,Staford,Rounding,Male,1/6/1954,23277,Richmond,Virginia,FALSE,Southern,new,22.45,65
10025,Bary,Lydiatt,Male,5/6/1962,75379,Dallas,Texas,FALSE,Southwest,new,54.48,57
10026,Ranee,Pumphreys,Female,5/27/1962,19196,Philadelphia,Pennsylvania,TRUE,Mid-atlantic,ported,22.74,57
10027,Willabella,Tomasz,Female,6/8/1988,7112,Newark,New Jersey,TRUE,Mid-atlantic,new,23.68,31
10028,Luisa,Derges,Female,6/29/1992,89595,Reno,Nevada,TRUE,RockyMountain,new,26.88,27
10029,Teodorico,Andryszczak,Male,3/16/1986,50393,Des Moines,Iowa,TRUE,Midwest,new,54.69,33
10030,Anjela,Reese,Female,7/11/1982,78260,San Antonio,Texas,TRUE,Southwest,new,29.36,37
10031,Kirsten,Swadlin,Female,6/1/1976,34615,Clearwater,Florida,FALSE,Southern,new,17.67,43
10032,Letti,Calyton,Female,10/2/1989,14639,Rochester,New York,FALSE,Mid-atlantic,new,32.84,29
10033,Collete,Baysting,Female,2/8/1977,11436,Jamaica,New York,TRUE,Mid-atlantic,ported,47.38,42
10034,Christina,Awton,Female,12/6/1999,46278,Indianapolis,Indiana,TRUE,Midwest,ported,59.14,19
10035,Costa,Ringsell,Male,1/19/2002,2119,Boston,Massachusetts,FALSE,New-England,new,26.24,17
10036,Quinn,Vasentsov,Female,5/30/1973,98907,Yakima,Washington,FALSE,PacificCoastal,new,58.81,46
10037,Gerianna,Filippazzo,Female,1/24/1999,87190,Albuquerque,New Mexico,FALSE,Southwest,ported,34.11,20
10038,Tilly,Vischi,Female,11/17/1997,2472,Watertown,Massachusetts,TRUE,New-England,new,9.72,21
10039,Ulrica,Onians,Female,2/23/1997,31190,Atlanta,Georgia,TRUE,Southern,new,55.67,22
10040,Erda,Fauguel,Female,11/1/1968,53205,Milwaukee,Wisconsin,FALSE,Midwest,new,12.47,50
10041,Noelani,Semper,Female,3/25/1998,33742,Saint Petersburg,Florida,FALSE,Southern,ported,41.72,21
10042,Brendis,Bland,Male,12/10/1957,32225,Jacksonville,Florida,TRUE,Southern,new,9.44,61
10043,Channa,Oda,Female,1/31/1961,70836,Baton Rouge,Louisiana,FALSE,Southern,ported,40.02,58
10044,Duffy,Lockhart,Male,10/16/1963,22301,Alexandria,Virginia,FALSE,Southern,new,34.68,55
10045,Jillana,Aloshikin,Female,8/14/1980,93034,Oxnard,California,TRUE,PacificCoastal,ported,55.09,38
10046,Twyla,Widmoor,Female,2/18/2001,55115,Saint Paul,Minnesota,FALSE,Midwest,new,53.68,18
10047,Sampson,Kneath,Male,6/12/1988,66606,Topeka,Kansas,TRUE,Midwest,ported,52.38,31
10048,Phillie,Aylward,Female,5/2/1981,25711,Huntington,West Virginia,FALSE,Southern,new,54.93,38
10049,Ravi,Noell,Male,9/27/1991,92878,Corona,California,FALSE,PacificCoastal,new,47.85,27
10050,Tim,Benesevich,Male,10/31/1979,90605,Whittier,California,FALSE,PacificCoastal,ported,21.02,39
10051,Annaliese,Iacomi,Female,11/18/1992,19495,Valley Forge,Pennsylvania,TRUE,Mid-atlantic,new,19.07,26
10052,Jaquenetta,Upstone,Female,4/12/1972,30905,Augusta,Georgia,TRUE,Southern,ported,27.62,47
10053,Guglielmo,Masseo,Male,6/25/2005,92153,San Diego,California,TRUE,PacificCoastal,ported,54.24,14
10054,Sadye,Inkster,Female,1/23/1991,39236,Jackson,Mississippi,FALSE,Southern,ported,21,28
10055,Inez,Yurocjkin,Female,4/21/1970,95054,Santa Clara,California,TRUE,PacificCoastal,ported,47.02,49
10056,Bartolemo,Huggen,Male,9/12/1972,75049,Garland,Texas,TRUE,Southwest,new,28.58,46
10057,Valli,Pearcy,Female,9/2/1985,55551,Young America,Minnesota,FALSE,Midwest,ported,29.57,33
10058,Matthew,Kingaby,Male,5/4/1977,92105,San Diego,California,TRUE,PacificCoastal,new,28.8,42
10059,Quintana,Glader,Female,3/29/1974,48295,Detroit,Michigan,FALSE,Midwest,ported,5.71,45
10060,Melva,Neary,Female,5/21/1986,20540,Washington,District of Columbia,TRUE,Southern,ported,33.96,33
10061,Tymothy,Knolles-Green,Male,7/18/1971,10110,New York City,New York,FALSE,Mid-atlantic,ported,9.34,48
10062,Celia,Cotman,Female,6/24/1976,36177,Montgomery,Alabama,FALSE,Southern,new,8.91,43
10063,Lindsey,Meharg,Male,8/9/1955,77075,Houston,Texas,TRUE,Southwest,ported,56,64
10064,Yves,Presslie,Male,10/11/1994,59105,Billings,Montana,FALSE,RockyMountain,ported,30.97,24
10065,Kenn,Yurchishin,Male,5/19/1966,25705,Huntington,West Virginia,TRUE,Southern,new,24.19,53
10066,Christiana,MacLeese,Female,12/19/1973,95123,San Jose,California,TRUE,PacificCoastal,new,31.07,45
10067,Darrell,Toland,Male,1/3/1985,46699,South Bend,Indiana,TRUE,Midwest,ported,6.34,34
10068,Orion,Jikylls,Male,4/1/2005,12255,Albany,New York,TRUE,Mid-atlantic,ported,40.52,14
10069,Otto,Osorio,Male,9/20/1965,2216,Boston,Massachusetts,TRUE,New-England,new,30.28,53
10070,Junia,Jeffels,Female,10/24/1987,31196,Atlanta,Georgia,TRUE,Southern,ported,22.36,31
10071,Rutledge,Gotmann,Male,10/16/1962,85215,Mesa,Arizona,TRUE,Southwest,new,48.42,56
10072,Nisse,Pyper,Female,10/26/1968,11499,Jamaica,New York,TRUE,Mid-atlantic,ported,2.35,50
10073,Una,Burridge,Female,2/7/1954,79911,El Paso,Texas,TRUE,Southwest,new,8.79,65
10074,Donnie,Fursey,Male,7/11/1964,10029,New York City,New York,TRUE,Mid-atlantic,new,3.55,55
10075,Patty,Boyall,Male,8/13/1955,33069,Pompano Beach,Florida,TRUE,Southern,new,9.3,63
10076,Penelope,Knightly,Female,3/9/1988,79410,Lubbock,Texas,FALSE,Southwest,ported,29.07,31
10077,Brendis,Madgewick,Male,11/29/1993,43210,Columbus,Ohio,FALSE,Midwest,ported,44.27,25
10078,Olimpia,McCarl,Female,7/29/1965,30328,Atlanta,Georgia,FALSE,Southern,ported,39.6,54
10079,Rob,Woodhams,Male,9/7/1997,78789,Austin,Texas,TRUE,Southwest,ported,55.03,21
10080,Gaylord,Nolton,Male,3/15/1977,38197,Memphis,Tennessee,FALSE,Southern,ported,37.67,42
10081,Uriah,Atheis,Male,4/18/2003,33694,Tampa,Florida,TRUE,Southern,new,31.89,16
10082,Averyl,Stollhofer,Female,11/28/1959,17126,Harrisburg,Pennsylvania,TRUE,Mid-atlantic,new,29.47,59
10083,Ethelind,Scroggs,Female,10/5/1995,46805,Fort Wayne,Indiana,FALSE,Midwest,ported,35.62,23
10084,Silvester,Mitcheson,Male,12/19/1969,80945,Colorado Springs,Colorado,TRUE,RockyMountain,ported,5.98,49
10085,Waylen,Andras,Male,6/11/1963,44511,Youngstown,Ohio,TRUE,Midwest,new,34,56
10086,Lenore,Staton,Female,9/12/1988,34981,Fort Pierce,Florida,TRUE,Southern,ported,35.69,30
10087,Ermanno,Dot,Male,12/8/1974,19605,Reading,Pennsylvania,FALSE,Mid-atlantic,new,13.15,44
10088,Sher,Newns,Female,9/18/1963,77346,Humble,Texas,FALSE,Southwest,ported,50.88,55
10089,Marlin,Code,Male,11/26/2003,98498,Lakewood,Washington,FALSE,PacificCoastal,new,38.4,15
10090,Alberto,Pirdue,Male,9/18/1954,31998,Columbus,Georgia,TRUE,Southern,new,49.52,64
10091,Dorolice,Slogrove,Female,6/7/1972,31136,Atlanta,Georgia,TRUE,Southern,ported,22.24,47
10092,Teresa,Keysel,Female,5/18/1977,64082,Lees Summit,Missouri,FALSE,Midwest,ported,25.6,42
10093,Frederik,Gisburn,Male,4/23/1955,20580,Washington,District of Columbia,TRUE,Southern,new,32.52,64
10094,Agathe,Houselee,Female,8/13/1966,80243,Denver,Colorado,TRUE,RockyMountain,ported,19.16,52
10095,Benjamin,Brahan,Male,12/25/1954,75049,Garland,Texas,TRUE,Southwest,ported,20.13,64
10096,Constancia,Camerello,Female,6/11/1972,94169,San Francisco,California,FALSE,PacificCoastal,ported,47.86,47
10097,Ollie,Humberston,Male,11/25/1995,90410,Santa Monica,California,TRUE,PacificCoastal,new,4.33,23
10098,Corilla,Garahan,Female,4/18/1977,64187,Kansas City,Missouri,TRUE,Midwest,new,44.79,42
10099,Sophi,Hoodspeth,Female,8/17/1959,94280,Sacramento,California,FALSE,PacificCoastal,ported,12.51,59
10100,Inness,Gehrtz,Male,6/24/1977,65218,Columbia,Missouri,TRUE,Midwest,ported,57.78,42
10101,Wake,Loveguard,Male,8/14/1979,16107,New Castle,Pennsylvania,FALSE,Mid-atlantic,ported,26.4,39
10102,Yorgo,Chillistone,Male,3/14/1998,98158,Seattle,Washington,TRUE,PacificCoastal,ported,7.4,21
10103,Libby,Shergill,Female,5/15/1985,10120,New York City,New York,TRUE,Mid-atlantic,new,46.67,34
10104,Burt,Ziehm,Male,2/6/1966,78405,Corpus Christi,Texas,TRUE,Southwest,ported,11.98,53
10105,Marika,Janicki,Female,12/27/1993,92170,San Diego,California,FALSE,PacificCoastal,new,16.36,25
10106,Sherline,McHardy,Female,7/20/1997,18706,Wilkes Barre,Pennsylvania,FALSE,Mid-atlantic,ported,36.16,22
10107,Rhodie,Starford,Female,10/13/1988,29805,Aiken,South Carolina,FALSE,Southern,ported,14.5,30
10108,Norry,Raff,Male,9/19/1996,40293,Louisville,Kentucky,TRUE,Southern,new,1.61,22
10109,Milty,Stockney,Male,5/12/2000,50320,Des Moines,Iowa,TRUE,Midwest,new,33.19,19
10110,Oliy,Scone,Female,2/12/1992,21265,Baltimore,Maryland,TRUE,Southern,ported,16.57,27
10111,Ardyce,Rodolico,Female,10/29/1964,45020,Hamilton,Ohio,TRUE,Midwest,ported,59.37,54
10112,Andris,Delf,Male,10/9/1978,55407,Minneapolis,Minnesota,TRUE,Midwest,new,10.24,40
10113,Evonne,Lamar,Female,3/28/2003,45999,Cincinnati,Ohio,TRUE,Midwest,new,20.05,16
10114,Sheela,Showt,Female,10/8/1956,14652,Rochester,New York,TRUE,Mid-atlantic,new,53.37,62
10115,Nils,Piche,Male,3/24/1984,43610,Toledo,Ohio,TRUE,Midwest,new,43.55,35
10116,Peggi,Spellsworth,Female,6/16/1980,92165,San Diego,California,FALSE,PacificCoastal,new,58.82,39
10117,Neils,Linklater,Male,12/17/1990,32511,Pensacola,Florida,TRUE,Southern,ported,51.91,28
10118,Letisha,Fronczak,Female,1/9/1998,27404,Greensboro,North Carolina,FALSE,Southern,ported,15.08,21
10119,Bud,MacWilliam,Male,8/10/1978,76210,Denton,Texas,TRUE,Southwest,new,20.11,40
10120,Heath,Garrat,Male,8/4/2001,53234,Milwaukee,Wisconsin,TRUE,Midwest,ported,5.93,17
10121,Roderich,McLleese,Male,7/4/1987,98148,Seattle,Washington,TRUE,PacificCoastal,new,59.06,32
10122,Portie,Zanutti,Male,9/12/2006,6721,Waterbury,Connecticut,TRUE,New-England,new,35.51,12
10123,Heidi,Andrew,Female,1/17/1962,43615,Toledo,Ohio,TRUE,Midwest,ported,4.63,57
10124,Jecho,Duffie,Male,7/18/1976,96835,Wilkes Barre,Pennsylvania,TRUE,Mid-atlantic,ported,59.18,43
10125,Nola,Jacquemot,Female,2/18/1956,25711,Huntington,West Virginia,TRUE,Southern,new,19.62,63
10126,Amata,Kwietak,Female,12/16/2005,28289,Charlotte,North Carolina,FALSE,Southern,ported,44.5,13
10127,Clarita,Oxer,Female,3/26/2005,75062,Irving,Texas,TRUE,Southwest,new,49.07,14
10128,Sherman,Mooreed,Male,12/8/1983,23605,Newport News,Virginia,TRUE,Southern,new,36.67,35
10129,Kliment,Goodlett,Male,8/22/1993,11225,Brooklyn,New York,TRUE,Mid-atlantic,ported,26.64,25
10130,Errol,Antonat,Male,12/7/1974,84152,Salt Lake City,Utah,TRUE,RockyMountain,new,41.77,44
10131,Tommie,Derisly,Male,8/15/1976,70142,New Orleans,Louisiana,TRUE,Southern,new,22.33,42
10132,Dorie,Largan,Female,11/30/1954,31217,Macon,Georgia,TRUE,Southern,ported,39.9,64
10133,Delly,Kirkbright,Female,8/29/1993,73190,Oklahoma City,Oklahoma,FALSE,Southwest,ported,9.39,25
10134,Artur,Routham,Male,8/17/1984,1813,Woburn,Massachusetts,TRUE,New-England,ported,41.26,34
10135,Gabbie,Huddle,Female,5/8/1988,84120,Salt Lake City,Utah,FALSE,RockyMountain,ported,16.59,31
10136,Ivory,Takis,Female,2/13/1991,27264,High Point,North Carolina,TRUE,Southern,ported,9.34,28
10137,Nickolaus,Tunniclisse,Male,9/18/2000,88525,El Paso,Texas,TRUE,Southwest,new,24.02,18
10138,Winona,Beaman,Female,2/5/1968,46699,South Bend,Indiana,TRUE,Midwest,ported,57.43,51
10139,Weylin,MacAne,Male,5/16/1974,18505,Scranton,Pennsylvania,FALSE,Mid-atlantic,ported,35.84,45
10140,Lombard,Fines,Male,8/11/1996,14639,Rochester,New York,TRUE,Mid-atlantic,new,33.74,22
10141,Patrick,Waszczykowski,Male,11/30/1971,35254,Birmingham,Alabama,TRUE,Southern,ported,59.39,47
10142,Mordecai,Flag,Male,6/14/2005,80945,Colorado Springs,Colorado,TRUE,RockyMountain,ported,3.76,14
10143,Melloney,Wardingly,Female,3/16/1956,32891,Orlando,Florida,TRUE,Southern,ported,22.02,63
10144,Chevalier,Dorr,Male,1/26/1997,92105,San Diego,California,FALSE,PacificCoastal,ported,1.98,22
10145,Indira,Andriessen,Female,5/4/1991,92822,Brea,California,TRUE,PacificCoastal,ported,9.43,28
10146,Velvet,Shankland,Female,10/4/1973,66276,Shawnee Mission,Kansas,FALSE,Midwest,ported,8.67,45
10147,Alexia,Soans,Female,10/11/1995,48275,Detroit,Michigan,TRUE,Midwest,new,50.05,23
10148,Nonnah,Dinan,Female,12/31/1961,76198,Fort Worth,Texas,TRUE,Southwest,new,49.69,57
10149,Gawen,Sanbrook,Male,7/31/1999,33111,Miami,Florida,TRUE,Southern,new,18.44,20
10150,Welch,Schrieves,Male,4/30/1989,78715,Austin,Texas,TRUE,Southwest,new,53.4,30
10151,Jerrylee,Nugent,Female,3/23/1966,36109,Montgomery,Alabama,FALSE,Southern,new,12.07,53
10152,Chicky,Glentz,Female,7/23/1964,98498,Lakewood,Washington,FALSE,PacificCoastal,ported,15.74,55
10153,Devondra,Drance,Female,2/1/1993,7505,Paterson,New Jersey,FALSE,Mid-atlantic,ported,33.68,26
10154,Mada,Brum,Female,6/14/1976,78769,Austin,Texas,TRUE,Southwest,ported,26.35,43
10155,Alair,Leele,Male,2/26/1997,94159,San Francisco,California,TRUE,PacificCoastal,new,13.58,22
10156,Fonsie,Rubens,Male,7/15/1954,37939,Knoxville,Tennessee,TRUE,Southern,ported,32.05,65
10157,Sosanna,Le Prevost,Female,9/12/1976,70033,Metairie,Louisiana,TRUE,Southern,ported,3.43,42
10158,Marje,Passo,Female,9/18/1959,48258,Detroit,Michigan,FALSE,Midwest,ported,58.28,59
10159,Cassaundra,Verrell,Female,7/9/1976,85005,Phoenix,Arizona,TRUE,Southwest,new,15.3,43
10160,Dorothee,Shermore,Female,11/10/2005,77505,Pasadena,Texas,FALSE,Southwest,ported,1.73,13
10161,Douglas,Taberer,Male,2/22/1961,48242,Detroit,Michigan,TRUE,Midwest,ported,56.86,58
10162,Emelyne,Dewhurst,Female,7/3/1974,2109,Boston,Massachusetts,TRUE,New-England,new,48.04,45
10163,Myrtia,Berlin,Female,3/5/1955,98405,Tacoma,Washington,TRUE,PacificCoastal,new,59.26,64
10164,Roshelle,Docker,Female,4/9/2006,33884,Winter Haven,Florida,FALSE,Southern,ported,8.47,13
10165,Addison,Playden,Male,2/4/1957,96805,Philadelphia,Pennsylvania,TRUE,Mid-atlantic,ported,7.88,62
10166,Vita,Zoellner,Female,3/27/1991,29805,Aiken,South Carolina,TRUE,Southern,ported,17.96,28
10167,Merle,Tolotti,Male,5/10/1995,68134,Omaha,Nebraska,FALSE,Midwest,new,23.59,24
10168,Errol,Curnow,Male,11/14/1955,90081,Los Angeles,California,TRUE,PacificCoastal,ported,24.32,63
10169,Langsdon,Gilphillan,Male,2/13/1962,66667,Topeka,Kansas,FALSE,Midwest,ported,9.62,57
10170,Eberto,Bierling,Male,5/8/1972,53234,Milwaukee,Wisconsin,TRUE,Midwest,new,53.06,47
10171,Debee,Woodgate,Female,7/5/2004,73071,Norman,Oklahoma,TRUE,Southwest,new,56.72,15
10172,Sergeant,Bavester,Male,6/20/2001,77045,Houston,Texas,TRUE,Southwest,ported,11.35,18
10173,Valentino,Orcott,Male,3/23/1973,77201,Houston,Texas,FALSE,Southwest,ported,54.12,46
10174,Dean,Ginnaly,Male,10/31/1995,13205,Syracuse,New York,TRUE,Mid-atlantic,ported,26.52,23
10175,Eddie,Savell,Male,1/6/1977,34643,Largo,Florida,TRUE,Southern,ported,44.74,42
10176,Gracie,Goozee,Female,1/10/2004,54313,Green Bay,Wisconsin,TRUE,Midwest,ported,39.92,15
10177,Sebastiano,Lavallin,Male,12/26/1999,77288,Houston,Texas,FALSE,Southwest,ported,56.91,19
10178,Yasmeen,McAllan,Female,8/12/2000,44511,Youngstown,Ohio,TRUE,Midwest,ported,41.46,18
10179,Tarra,Vittle,Female,4/9/1999,20238,Washington,District of Columbia,TRUE,Southern,new,49.5,20
10180,Evan,Tesseyman,Male,5/1/1991,10110,New York City,New York,TRUE,Mid-atlantic,new,24.92,28
10181,Hilary,Bligh,Female,3/11/2002,73124,Oklahoma City,Oklahoma,TRUE,Southwest,ported,18.51,17
10182,Howard,Langcastle,Male,3/8/1991,18505,Scranton,Pennsylvania,TRUE,Mid-atlantic,new,31.43,28
10183,Rochella,Castagne,Female,8/18/1964,64136,Kansas City,Missouri,TRUE,Midwest,new,33.86,54
10184,Reider,Bratten,Male,3/5/1999,33345,Fort Lauderdale,Florida,FALSE,Southern,ported,55.54,20
10185,Loise,Dunlea,Female,11/3/1967,11024,Great Neck,New York,FALSE,Mid-atlantic,ported,12.06,51
10186,Merci,Tart,Female,2/14/1995,32255,Jacksonville,Florida,TRUE,Southern,ported,29.17,24
10187,Jonis,Fellows,Female,5/23/1995,88558,El Paso,Texas,FALSE,Southwest,ported,53.44,24
10188,Seward,Norewood,Male,5/9/1964,94522,Concord,California,FALSE,PacificCoastal,ported,18.55,55
10189,Perle,Trotter,Female,9/14/1971,68179,Omaha,Nebraska,TRUE,Midwest,new,59.69,47
10190,Kristofor,Yukhnev,Male,10/21/1979,62525,Decatur,Illinois,TRUE,Midwest,ported,47.62,39
10191,Ilaire,Buckell,Male,2/12/1960,18105,Allentown,Pennsylvania,FALSE,Mid-atlantic,new,27.63,59
10192,Ricki,Goodall,Female,4/24/1979,96845,Pittsburgh,Pennsylvania,FALSE,Mid-atlantic,new,50.77,40
10193,Flss,Rabat,Female,3/4/1954,63158,Saint Louis,Missouri,TRUE,Midwest,new,41.56,65
10194,Ansley,Wilkins,Female,7/27/1998,66629,Topeka,Kansas,TRUE,Midwest,new,28.53,21
10195,Juanita,Winslet,Female,10/23/1964,84140,Salt Lake City,Utah,FALSE,RockyMountain,new,39.16,54
10196,Aggie,Normanell,Female,2/7/2002,53285,Milwaukee,Wisconsin,TRUE,Midwest,ported,24.31,17
10197,Abigail,Trever,Female,8/26/1990,77206,Houston,Texas,TRUE,Southwest,new,20.7,28
10198,Bonnie,Ghilardi,Female,3/31/1963,97286,Portland,Oregon,TRUE,PacificCoastal,new,22.98,56
10199,Eva,Streak,Female,5/29/1964,6510,New Haven,Connecticut,TRUE,New-England,new,14.09,55
10200,Darwin,Litster,Male,8/8/1987,7505,Paterson,New Jersey,FALSE,Mid-atlantic,new,26.34,31
10201,Jaquenetta,Dingley,Female,9/2/1963,80044,Aurora,Colorado,TRUE,RockyMountain,ported,14.66,55
10202,Herve,Seaborne,Male,4/17/1980,24503,Lynchburg,Virginia,TRUE,Southern,new,21.99,39
10203,Victor,Hardacre,Male,7/15/1986,5609,Montpelier,Vermont,FALSE,New-England,ported,22.31,33
10204,Leah,Vaisey,Female,8/17/1996,6145,Hartford,Connecticut,TRUE,New-England,ported,51.52,22
10205,Hinda,Gresser,Female,11/6/1968,20436,Washington,District of Columbia,TRUE,Southern,new,28.03,50
10206,Byran,Ewestace,Male,11/1/2001,92717,Irvine,California,TRUE,PacificCoastal,new,59.94,17
10207,Amandy,Wretham,Female,11/16/1977,52809,Davenport,Iowa,TRUE,Midwest,ported,57.24,41
10208,Twyla,Larvin,Female,5/2/1962,47805,Terre Haute,Indiana,FALSE,Midwest,new,39.73,57
10209,Juliette,Angood,Female,12/22/1997,2119,Boston,Massachusetts,TRUE,New-England,new,16.54,21
10210,Charlena,Fickling,Female,10/9/1972,46862,Fort Wayne,Indiana,TRUE,Midwest,ported,59.18,46
10211,Burk,Extill,Male,5/12/1999,22234,Arlington,Virginia,FALSE,Southern,ported,54.92,20
10212,Roseanne,Sarch,Female,6/22/2003,70820,Baton Rouge,Louisiana,TRUE,Southern,ported,7.08,16
10213,Abba,Grayley,Male,8/10/1995,64054,Independence,Missouri,TRUE,Midwest,ported,7.38,23
10214,Brandais,Moy,Female,6/10/2005,94627,Oakland,California,TRUE,PacificCoastal,ported,40.46,14
10215,Boot,Tellesson,Male,10/3/1971,47712,Evansville,Indiana,TRUE,Midwest,ported,11.81,47
10216,Natala,Harradence,Female,7/24/1995,19714,Newark,Delaware,FALSE,Southern,new,43.37,24
10217,Ruttger,Neno,Male,3/8/1986,96810,Erie,Pennsylvania,TRUE,Mid-atlantic,ported,57.85,33
10218,Brockie,Chataignier,Male,4/24/1984,32813,Orlando,Florida,TRUE,Southern,ported,13.63,35
10219,Bernardo,Tottle,Male,8/19/1998,72916,Fort Smith,Arkansas,TRUE,Southern,ported,17.17,20
10220,Fielding,Caban,Male,4/15/2005,45228,Cincinnati,Ohio,TRUE,Midwest,new,17.93,14
10221,Gabbi,Leijs,Female,9/14/1977,49018,Battle Creek,Michigan,FALSE,Midwest,new,39.09,41
10222,Ebony,Saltmarsh,Female,2/3/1973,76129,Fort Worth,Texas,FALSE,Southwest,new,16.67,46
10223,Doralin,Grolle,Female,2/17/1997,85072,Phoenix,Arizona,TRUE,Southwest,new,17.77,22
10224,Mair,Korba,Female,5/1/1956,33320,Fort Lauderdale,Florida,TRUE,Southern,ported,22.92,63
10225,Averyl,Sisneros,Female,6/22/1985,30245,Lawrenceville,Georgia,TRUE,Southern,new,51.5,34
10226,Cori,Reeks,Male,11/7/1963,7505,Paterson,New Jersey,TRUE,Mid-atlantic,ported,34.42,55
10227,Rebe,Slixby,Female,10/28/1964,31416,Savannah,Georgia,TRUE,Southern,new,8.11,54
10228,Xerxes,Canadas,Male,6/2/1961,73190,Oklahoma City,Oklahoma,TRUE,Southwest,new,2.74,58
10229,Paton,Perello,Male,6/28/1984,20425,Washington,District of Columbia,FALSE,Southern,new,59.79,35
10230,Maybelle,Gaunter,Female,3/29/1982,47725,Evansville,Indiana,FALSE,Midwest,new,8.37,37
10231,Von,Enrique,Male,11/27/1980,90847,Long Beach,California,TRUE,PacificCoastal,ported,42.44,38
10232,Lay,Riddich,Male,12/18/1964,76162,Fort Worth,Texas,TRUE,Southwest,ported,14.56,54
10233,Marcelle,Rosa,Female,10/25/1986,33686,Tampa,Florida,TRUE,Southern,new,12.37,32
10234,Lanie,Spottiswood,Female,11/20/1971,43268,Columbus,Ohio,FALSE,Midwest,ported,42.89,47
10235,Damian,ffrench Beytagh,Male,2/16/2002,66105,Kansas City,Kansas,TRUE,Midwest,new,40.94,17
10236,Andie,Leworthy,Male,11/20/1985,23520,Norfolk,Virginia,FALSE,Southern,new,54.92,33
10237,Keslie,Ventum,Female,5/10/2002,71307,Alexandria,Louisiana,TRUE,Southern,new,20.43,17
10238,Lina,Tomkiss,Female,8/18/1970,44505,Youngstown,Ohio,TRUE,Midwest,new,29.66,48
10239,Erhard,Duplock,Male,12/8/1976,29208,Columbia,South Carolina,TRUE,Southern,ported,43.06,42
10240,Lula,Liversedge,Female,10/12/1955,35810,Huntsville,Alabama,TRUE,Southern,ported,29.69,63
10241,Almeta,Butlin,Female,8/18/1979,49560,Grand Rapids,Michigan,TRUE,Midwest,new,54.56,39
10242,Christy,Klimkovich,Male,2/28/1954,20397,Washington,District of Columbia,TRUE,Southern,new,55.75,65
10243,Monica,Etty,Female,10/20/1998,10633,White Plains,New York,FALSE,Mid-atlantic,new,10.96,20
10244,Titos,Flewett,Male,9/14/1994,85099,Phoenix,Arizona,FALSE,Southwest,new,29.94,24
10245,Stacy,Linnett,Male,2/22/1975,68583,Lincoln,Nebraska,FALSE,Midwest,ported,42.62,44
10246,Cayla,Conochie,Female,5/24/1970,40586,Lexington,Kentucky,FALSE,Southern,ported,40.37,49
10247,Karon,Lowcock,Female,2/11/1970,62205,East Saint Louis,Illinois,TRUE,Midwest,new,24.27,49
10248,Monah,Gleeton,Female,4/20/1967,45228,Cincinnati,Ohio,TRUE,Midwest,ported,23.23,52
