id,phone_number,receiver,starttimestamp,endtimestamp,call_length,direction
51,241-168-8259,306-378-4644,10/23/2018 6:33,10/23/2018 6:40,0:06:58,incoming
52,237-547-1013,306-378-4644,4/22/2017 7:09,4/22/2017 7:15,0:05:03,incoming
53,227-100-2967,598-737-7459,8/4/2017 9:57,8/4/2017 9:57,0:00:00,missed call
54,227-100-2967,398-674-8292,2/5/2018 14:24,2/5/2018 14:24,0:00:07,incoming
55,398-674-8292,227-100-2967,4/30/2019 7:40,4/30/2019 7:51,0:11:00,incoming
56,227-100-2967,614-619-2896,9/6/2018 7:16,9/6/2018 7:17,0:00:53,incoming
57,237-547-1013,306-378-4644,8/19/2018 3:45,8/19/2018 3:45,0:00:00,missed call
58,335-702-9515,306-378-4644,4/11/2017 2:31,4/11/2017 3:02,0:31:12,outgoing
59,227-100-2967,237-547-1013,2/15/2017 19:26,2/15/2017 19:44,0:17:24,outgoing
60,241-168-8259,985-935-9702,11/9/2017 19:47,11/9/2017 20:13,0:26:22,outgoing
61,306-378-4644,985-935-9702,1/4/2018 7:37,1/4/2018 8:12,0:34:42,outgoing
62,398-674-8292,985-935-9702,3/16/2018 7:37,3/16/2018 7:37,0:00:00,missed call
63,398-674-8292,818-167-3374,2/13/2017 19:04,2/13/2017 19:46,0:41:51,incoming
64,227-100-2967,241-168-8259,1/28/2018 11:08,1/28/2018 11:08,0:00:00,missed call
65,306-378-4644,227-100-2967,4/26/2019 11:12,4/26/2019 11:55,0:42:46,incoming
66,398-674-8292,614-619-2896,4/15/2018 11:11,4/15/2018 11:11,0:00:00,missed call
67,237-547-1013,306-378-4644,2/5/2017 14:57,2/5/2017 15:21,0:24:23,outgoing
68,614-619-2896,818-167-3374,4/8/2017 13:16,4/8/2017 14:06,0:49:52,incoming
69,398-674-8292,985-935-9702,3/23/2017 9:02,3/23/2017 9:02,0:00:00,missed call
70,335-702-9515,241-168-8259,9/25/2018 22:00,9/25/2018 22:00,0:00:00,missed call
71,398-674-8292,237-547-1013,4/22/2018 18:28,4/22/2018 18:28,0:00:00,missed call
72,237-547-1013,241-168-8259,5/5/2017 13:56,5/5/2017 13:56,0:00:00,missed call
73,818-167-3374,985-935-9702,10/18/2018 5:09,10/18/2018 5:09,0:00:00,missed call
74,818-167-3374,398-674-8292,5/20/2018 0:29,5/20/2018 0:59,0:30:19,outgoing
75,335-702-9515,818-167-3374,11/4/2017 18:52,11/4/2017 18:52,0:00:00,missed call
76,614-619-2896,398-674-8292,2/20/2019 12:21,2/20/2019 12:39,0:18:26,incoming
77,227-100-2967,241-168-8259,10/5/2017 3:47,10/5/2017 3:47,0:00:00,missed call
78,306-378-4644,398-674-8292,9/23/2018 18:56,9/23/2018 18:56,0:00:00,missed call
79,241-168-8259,237-547-1013,3/5/2017 9:00,3/5/2017 9:49,0:48:34,outgoing
80,241-168-8259,237-547-1013,11/27/2018 3:43,11/27/2018 3:43,0:00:00,missed call
81,237-547-1013,227-100-2967,3/8/2018 5:24,3/8/2018 5:55,0:30:49,incoming
82,237-547-1013,241-168-8259,7/17/2017 18:20,7/17/2017 18:49,0:28:55,incoming
83,398-674-8292,306-378-4644,2/19/2017 20:08,2/19/2017 20:08,0:00:00,missed call
84,398-674-8292,237-547-1013,11/12/2017 0:17,11/12/2017 0:30,0:12:51,incoming
85,306-378-4644,227-100-2967,10/1/2017 9:21,10/1/2017 9:21,0:00:00,missed call
86,306-378-4644,598-737-7459,5/16/2018 18:57,5/16/2018 19:56,0:58:42,outgoing
87,398-674-8292,237-547-1013,1/22/2017 23:25,1/23/2017 0:08,0:43:39,incoming
88,614-619-2896,241-168-8259,4/29/2019 15:40,4/29/2019 15:40,0:00:00,missed call
89,227-100-2967,241-168-8259,2/25/2018 5:42,2/25/2018 6:10,0:27:43,incoming
90,598-737-7459,241-168-8259,12/28/2018 0:55,12/28/2018 0:55,0:00:00,missed call
91,335-702-9515,614-619-2896,1/28/2017 9:08,1/28/2017 9:21,0:12:36,incoming
92,818-167-3374,985-935-9702,7/23/2018 3:15,7/23/2018 3:16,0:01:15,outgoing
93,985-935-9702,398-674-8292,3/3/2017 18:55,3/3/2017 18:55,0:00:00,missed call
94,237-547-1013,241-168-8259,4/9/2019 9:17,4/9/2019 9:45,0:28:21,outgoing
95,985-935-9702,306-378-4644,6/15/2017 15:02,6/15/2017 15:02,0:00:00,missed call
96,237-547-1013,614-619-2896,4/19/2019 19:57,4/19/2019 20:34,0:36:47,outgoing
97,598-737-7459,237-547-1013,4/6/2017 19:41,4/6/2017 19:41,0:00:00,missed call
98,227-100-2967,398-674-8292,6/29/2017 6:08,6/29/2017 6:31,0:23:14,incoming
99,335-702-9515,598-737-7459,11/24/2018 6:37,11/24/2018 7:14,0:36:25,incoming
100,306-378-4644,227-100-2967,10/26/2018 15:48,10/26/2018 16:15,0:27:26,incoming
101,598-737-7459,985-935-9702,5/26/2018 22:49,5/26/2018 23:07,0:17:44,incoming
102,614-619-2896,818-167-3374,1/11/2018 17:51,1/11/2018 18:49,0:57:44,outgoing
103,614-619-2896,227-100-2967,8/18/2018 1:40,8/18/2018 1:50,0:09:47,incoming
104,237-547-1013,614-619-2896,5/19/2019 2:19,5/19/2019 3:03,0:44:35,outgoing
105,985-935-9702,335-702-9515,11/15/2018 19:53,11/15/2018 20:31,0:38:26,incoming
106,335-702-9515,614-619-2896,5/30/2019 9:10,5/30/2019 9:31,0:21:19,incoming
107,335-702-9515,818-167-3374,1/4/2017 23:18,1/4/2017 23:48,0:30:11,outgoing
108,598-737-7459,818-167-3374,10/24/2018 21:26,10/24/2018 21:40,0:14:28,incoming
109,306-378-4644,818-167-3374,11/2/2018 11:11,11/2/2018 12:08,0:57:01,incoming
110,335-702-9515,306-378-4644,9/11/2017 3:43,9/11/2017 4:29,0:46:33,outgoing
111,818-167-3374,985-935-9702,11/9/2017 9:52,11/9/2017 9:52,0:00:00,missed call
112,306-378-4644,398-674-8292,5/29/2019 12:40,5/29/2019 13:00,0:19:51,incoming
113,227-100-2967,398-674-8292,9/14/2018 0:08,9/14/2018 0:08,0:00:00,missed call
114,614-619-2896,398-674-8292,7/15/2017 9:25,7/15/2017 9:43,0:18:30,incoming
115,237-547-1013,614-619-2896,5/30/2018 23:45,5/31/2018 0:38,0:52:30,incoming
116,985-935-9702,241-168-8259,2/14/2017 10:05,2/14/2017 10:53,0:47:37,incoming
117,306-378-4644,614-619-2896,3/15/2017 12:51,3/15/2017 12:51,0:00:00,missed call
118,614-619-2896,306-378-4644,1/31/2018 17:15,1/31/2018 17:15,0:00:00,missed call
119,818-167-3374,985-935-9702,12/28/2017 18:47,12/28/2017 18:47,0:00:00,missed call
120,398-674-8292,306-378-4644,5/20/2017 16:22,5/20/2017 17:13,0:51:18,incoming
121,614-619-2896,598-737-7459,3/17/2019 10:36,3/17/2019 10:36,0:00:00,missed call
122,227-100-2967,306-378-4644,6/28/2017 17:32,6/28/2017 17:32,0:00:00,missed call
123,306-378-4644,335-702-9515,4/18/2019 15:38,4/18/2019 15:38,0:00:00,missed call
124,241-168-8259,398-674-8292,5/23/2018 9:04,5/23/2018 9:31,0:27:31,incoming
125,398-674-8292,614-619-2896,3/24/2018 4:35,3/24/2018 4:52,0:16:50,incoming
126,818-167-3374,598-737-7459,2/26/2019 7:19,2/26/2019 7:30,0:10:26,outgoing
127,335-702-9515,985-935-9702,8/6/2018 20:53,8/6/2018 20:53,0:00:00,missed call
128,306-378-4644,598-737-7459,2/21/2019 4:47,2/21/2019 4:50,0:02:28,outgoing
129,227-100-2967,241-168-8259,11/15/2018 12:51,11/15/2018 12:51,0:00:00,missed call
130,818-167-3374,398-674-8292,7/27/2018 13:30,7/27/2018 14:08,0:38:10,outgoing
131,241-168-8259,237-547-1013,4/12/2017 16:06,4/12/2017 16:43,0:36:41,incoming
132,241-168-8259,598-737-7459,4/20/2017 13:33,4/20/2017 14:26,0:53:12,outgoing
133,241-168-8259,227-100-2967,4/24/2018 9:43,4/24/2018 9:43,0:00:00,missed call
134,306-378-4644,335-702-9515,1/30/2019 6:29,1/30/2019 6:29,0:00:00,missed call
135,335-702-9515,985-935-9702,5/17/2018 21:33,5/17/2018 22:31,0:57:44,incoming
136,598-737-7459,985-935-9702,7/20/2017 0:21,7/20/2017 1:12,0:50:52,outgoing
137,818-167-3374,985-935-9702,4/9/2017 14:37,4/9/2017 14:48,0:10:24,outgoing
138,614-619-2896,241-168-8259,6/26/2017 0:59,6/26/2017 0:59,0:00:00,missed call
139,398-674-8292,335-702-9515,7/27/2018 0:57,7/27/2018 0:57,0:00:00,missed call
140,335-702-9515,227-100-2967,4/26/2018 1:53,4/26/2018 1:57,0:04:02,incoming
141,227-100-2967,237-547-1013,11/7/2018 8:16,11/7/2018 8:16,0:00:00,missed call
142,598-737-7459,237-547-1013,10/22/2018 8:32,10/22/2018 8:56,0:24:01,incoming
143,398-674-8292,614-619-2896,4/12/2017 7:49,4/12/2017 8:43,0:53:50,incoming
144,598-737-7459,335-702-9515,8/11/2017 7:13,8/11/2017 7:54,0:41:38,incoming
145,335-702-9515,241-168-8259,10/1/2018 20:33,10/1/2018 21:11,0:37:51,outgoing
146,614-619-2896,398-674-8292,12/4/2017 22:51,12/4/2017 23:35,0:43:31,incoming
147,818-167-3374,227-100-2967,5/22/2017 21:10,5/22/2017 21:44,0:33:50,outgoing
148,985-935-9702,335-702-9515,8/2/2017 12:34,8/2/2017 12:47,0:12:35,incoming
149,237-547-1013,818-167-3374,8/11/2017 6:56,8/11/2017 7:14,0:17:45,incoming
150,614-619-2896,241-168-8259,3/17/2018 8:40,3/17/2018 8:57,0:17:17,incoming
151,306-378-4644,398-674-8292,7/11/2018 9:14,7/11/2018 9:22,0:07:45,outgoing
152,306-378-4644,598-737-7459,7/2/2017 22:54,7/2/2017 22:54,0:00:00,missed call
153,614-619-2896,241-168-8259,3/18/2017 17:18,3/18/2017 17:46,0:28:53,incoming
154,227-100-2967,818-167-3374,3/10/2019 9:20,3/10/2019 10:16,0:56:45,incoming
155,306-378-4644,227-100-2967,3/28/2018 6:08,3/28/2018 6:08,0:00:00,missed call
156,985-935-9702,335-702-9515,8/10/2017 23:28,8/10/2017 23:28,0:00:00,missed call
157,818-167-3374,241-168-8259,4/2/2019 8:18,4/2/2019 8:44,0:25:36,incoming
158,237-547-1013,227-100-2967,11/14/2018 5:15,11/14/2018 5:39,0:24:01,outgoing
159,598-737-7459,241-168-8259,2/13/2019 6:09,2/13/2019 6:46,0:36:59,incoming
160,306-378-4644,614-619-2896,2/11/2019 20:30,2/11/2019 20:53,0:22:50,outgoing
161,818-167-3374,985-935-9702,3/29/2017 2:28,3/29/2017 2:48,0:20:36,incoming
162,306-378-4644,227-100-2967,2/9/2017 6:09,2/9/2017 6:20,0:10:52,outgoing
163,985-935-9702,306-378-4644,10/19/2018 4:55,10/19/2018 4:58,0:03:23,incoming
164,598-737-7459,227-100-2967,2/13/2018 5:57,2/13/2018 6:13,0:15:38,outgoing
165,306-378-4644,335-702-9515,11/8/2017 16:09,11/8/2017 16:09,0:00:00,missed call
166,985-935-9702,237-547-1013,5/6/2017 15:13,5/6/2017 16:06,0:52:24,outgoing
167,335-702-9515,818-167-3374,1/14/2018 10:12,1/14/2018 10:12,0:00:00,missed call
168,818-167-3374,227-100-2967,2/16/2019 23:26,2/16/2019 23:26,0:00:02,outgoing
169,614-619-2896,227-100-2967,4/15/2017 11:52,4/15/2017 12:39,0:46:47,incoming
170,237-547-1013,306-378-4644,12/3/2017 14:26,12/3/2017 14:31,0:04:18,incoming
171,237-547-1013,241-168-8259,5/21/2017 14:56,5/21/2017 15:50,0:53:37,incoming
172,398-674-8292,985-935-9702,1/28/2017 23:58,1/29/2017 0:49,0:51:37,incoming
173,818-167-3374,985-935-9702,5/20/2018 4:23,5/20/2018 4:41,0:18:03,incoming
174,818-167-3374,227-100-2967,8/28/2018 8:33,8/28/2018 9:20,0:46:37,outgoing
175,398-674-8292,614-619-2896,3/24/2018 4:55,3/24/2018 5:02,0:06:36,incoming
176,227-100-2967,241-168-8259,4/3/2019 2:24,4/3/2019 3:13,0:48:34,incoming
177,306-378-4644,335-702-9515,2/22/2019 19:05,2/22/2019 19:58,0:53:28,outgoing
178,227-100-2967,818-167-3374,1/12/2019 22:15,1/12/2019 23:11,0:55:48,incoming
179,227-100-2967,335-702-9515,5/3/2018 7:28,5/3/2018 7:50,0:22:06,incoming
180,614-619-2896,241-168-8259,7/5/2017 20:23,7/5/2017 20:33,0:10:09,outgoing
181,985-935-9702,818-167-3374,2/11/2018 8:06,2/11/2018 8:44,0:37:43,outgoing
182,335-702-9515,614-619-2896,4/11/2019 4:31,4/11/2019 4:31,0:00:00,missed call
183,241-168-8259,335-702-9515,7/30/2018 11:10,7/30/2018 11:40,0:29:49,incoming
184,398-674-8292,241-168-8259,5/11/2018 0:31,5/11/2018 1:14,0:43:21,incoming
185,818-167-3374,335-702-9515,3/9/2017 16:29,3/9/2017 16:29,0:00:00,missed call
186,598-737-7459,818-167-3374,1/13/2017 20:59,1/13/2017 20:59,0:00:00,missed call
187,398-674-8292,306-378-4644,5/19/2019 20:30,5/19/2019 21:13,0:42:55,incoming
188,335-702-9515,241-168-8259,7/11/2017 17:49,7/11/2017 18:21,0:31:22,incoming
189,237-547-1013,306-378-4644,11/22/2018 21:07,11/22/2018 21:36,0:29:30,outgoing
190,237-547-1013,227-100-2967,3/30/2017 5:35,3/30/2017 5:35,0:00:00,missed call
191,598-737-7459,614-619-2896,1/25/2018 6:28,1/25/2018 6:40,0:11:46,incoming
192,818-167-3374,335-702-9515,6/8/2018 8:50,6/8/2018 8:50,0:00:00,missed call
193,398-674-8292,985-935-9702,12/6/2017 10:01,12/6/2017 10:01,0:00:00,missed call
194,818-167-3374,227-100-2967,8/20/2018 8:12,8/20/2018 8:21,0:09:16,outgoing
195,818-167-3374,306-378-4644,5/2/2017 5:24,5/2/2017 5:45,0:20:39,outgoing
196,237-547-1013,985-935-9702,4/24/2017 6:00,4/24/2017 6:00,0:00:04,incoming
197,306-378-4644,227-100-2967,4/10/2017 14:12,4/10/2017 14:52,0:40:03,outgoing
198,335-702-9515,241-168-8259,1/30/2017 0:07,1/30/2017 0:58,0:50:51,outgoing
199,237-547-1013,306-378-4644,7/31/2017 7:47,7/31/2017 8:13,0:26:20,incoming
200,306-378-4644,985-935-9702,3/16/2018 5:13,3/16/2018 5:13,0:00:00,missed call
201,985-935-9702,614-619-2896,4/2/2018 9:50,4/2/2018 9:50,0:00:00,missed call
202,398-674-8292,335-702-9515,3/11/2018 3:27,3/11/2018 3:27,0:00:00,missed call
203,985-935-9702,398-674-8292,3/16/2018 15:58,3/16/2018 15:58,0:00:00,missed call
204,237-547-1013,614-619-2896,6/10/2017 5:24,6/10/2017 6:09,0:45:00,incoming
205,241-168-8259,398-674-8292,2/18/2018 9:10,2/18/2018 9:52,0:42:00,incoming
206,227-100-2967,335-702-9515,10/11/2018 8:18,10/11/2018 8:23,0:04:53,outgoing
207,598-737-7459,306-378-4644,7/19/2018 22:11,7/19/2018 22:19,0:07:42,outgoing
208,335-702-9515,227-100-2967,5/7/2019 3:26,5/7/2019 3:54,0:27:51,outgoing
209,335-702-9515,614-619-2896,3/21/2017 15:07,3/21/2017 15:07,0:00:00,missed call
210,398-674-8292,237-547-1013,12/16/2017 3:57,12/16/2017 4:48,0:51:04,outgoing
211,241-168-8259,398-674-8292,3/16/2019 5:40,3/16/2019 6:12,0:32:05,outgoing
212,398-674-8292,818-167-3374,4/29/2018 3:03,4/29/2018 3:03,0:00:00,missed call
213,398-674-8292,818-167-3374,4/12/2018 18:51,4/12/2018 18:51,0:00:00,missed call
214,241-168-8259,985-935-9702,6/21/2018 18:59,6/21/2018 19:01,0:02:06,incoming
215,237-547-1013,306-378-4644,8/25/2017 2:58,8/25/2017 2:58,0:00:00,missed call
216,985-935-9702,598-737-7459,1/6/2017 21:52,1/6/2017 21:52,0:00:00,missed call
217,306-378-4644,241-168-8259,5/21/2017 13:49,5/21/2017 14:40,0:51:20,outgoing
218,306-378-4644,985-935-9702,1/5/2017 1:03,1/5/2017 1:23,0:20:21,incoming
219,335-702-9515,398-674-8292,1/27/2017 22:11,1/27/2017 22:11,0:00:00,missed call
220,818-167-3374,398-674-8292,9/19/2017 14:52,9/19/2017 14:52,0:00:00,missed call
221,227-100-2967,614-619-2896,9/27/2017 14:07,9/27/2017 14:07,0:00:00,missed call
222,398-674-8292,335-702-9515,12/4/2018 19:45,12/4/2018 20:04,0:18:37,incoming
223,335-702-9515,306-378-4644,3/22/2019 17:53,3/22/2019 18:47,0:54:06,incoming
224,306-378-4644,818-167-3374,2/6/2018 10:50,2/6/2018 10:50,0:00:00,missed call
225,398-674-8292,335-702-9515,12/28/2017 1:13,12/28/2017 1:58,0:45:00,incoming
226,818-167-3374,306-378-4644,11/22/2017 20:21,11/22/2017 20:21,0:00:00,missed call
227,818-167-3374,335-702-9515,9/12/2018 12:30,9/12/2018 12:30,0:00:00,missed call
228,335-702-9515,598-737-7459,12/13/2018 1:14,12/13/2018 2:14,0:59:52,outgoing
229,227-100-2967,398-674-8292,2/21/2018 8:26,2/21/2018 9:16,0:50:10,outgoing
230,241-168-8259,227-100-2967,10/25/2018 4:10,10/25/2018 4:34,0:23:52,outgoing
231,598-737-7459,237-547-1013,2/21/2017 20:40,2/21/2017 20:40,0:00:00,missed call
232,241-168-8259,614-619-2896,6/20/2018 13:12,6/20/2018 13:58,0:45:48,outgoing
233,306-378-4644,241-168-8259,4/11/2019 22:25,4/11/2019 22:48,0:22:12,outgoing
234,985-935-9702,818-167-3374,10/6/2017 23:35,10/6/2017 23:47,0:11:53,outgoing
235,227-100-2967,398-674-8292,9/11/2018 19:57,9/11/2018 19:57,0:00:00,missed call
236,241-168-8259,614-619-2896,2/25/2019 22:35,2/25/2019 22:45,0:09:06,outgoing
237,614-619-2896,306-378-4644,3/29/2017 15:37,3/29/2017 16:00,0:23:36,outgoing
238,985-935-9702,818-167-3374,1/14/2019 17:19,1/14/2019 17:49,0:29:35,incoming
239,614-619-2896,237-547-1013,4/12/2019 23:01,4/12/2019 23:21,0:19:54,incoming
240,241-168-8259,818-167-3374,5/24/2017 10:40,5/24/2017 10:40,0:00:00,missed call
241,306-378-4644,818-167-3374,3/2/2019 16:49,3/2/2019 17:29,0:40:21,incoming
242,818-167-3374,335-702-9515,5/24/2018 12:21,5/24/2018 12:21,0:00:00,missed call
243,614-619-2896,398-674-8292,7/22/2018 13:05,7/22/2018 13:05,0:00:00,missed call
244,335-702-9515,241-168-8259,2/22/2017 6:07,2/22/2017 6:49,0:42:04,outgoing
245,985-935-9702,398-674-8292,10/13/2018 16:48,10/13/2018 17:12,0:23:12,outgoing
246,335-702-9515,598-737-7459,7/1/2017 7:23,7/1/2017 8:11,0:47:56,outgoing
247,398-674-8292,306-378-4644,9/28/2017 0:34,9/28/2017 1:01,0:26:47,incoming
248,614-619-2896,818-167-3374,4/24/2017 3:00,4/24/2017 3:40,0:39:38,outgoing
249,598-737-7459,335-702-9515,4/9/2019 23:30,4/9/2019 23:30,0:00:00,missed call
250,237-547-1013,227-100-2967,2/26/2017 8:07,2/26/2017 8:20,0:12:48,outgoing
251,237-547-1013,306-378-4644,10/13/2018 17:42,10/13/2018 18:23,0:41:05,incoming
252,241-168-8259,227-100-2967,2/4/2017 5:08,2/4/2017 5:08,0:00:00,missed call
253,985-935-9702,335-702-9515,3/31/2017 2:37,3/31/2017 3:09,0:31:34,outgoing
254,598-737-7459,237-547-1013,10/1/2017 2:43,10/1/2017 3:04,0:21:13,outgoing
255,985-935-9702,398-674-8292,7/13/2017 11:03,7/13/2017 12:03,0:59:49,incoming
256,818-167-3374,306-378-4644,4/14/2017 11:34,4/14/2017 11:34,0:00:00,missed call
257,818-167-3374,985-935-9702,5/24/2018 3:01,5/24/2018 3:14,0:13:55,incoming
258,335-702-9515,398-674-8292,1/29/2017 3:20,1/29/2017 3:20,0:00:00,missed call
259,237-547-1013,598-737-7459,5/30/2019 23:18,5/30/2019 23:38,0:20:18,incoming
260,335-702-9515,306-378-4644,4/12/2018 19:51,4/12/2018 20:14,0:22:51,outgoing
261,818-167-3374,335-702-9515,2/26/2019 18:38,2/26/2019 18:38,0:00:00,missed call
262,241-168-8259,598-737-7459,1/3/2018 20:47,1/3/2018 20:47,0:00:00,missed call
263,237-547-1013,614-619-2896,4/19/2019 7:07,4/19/2019 7:27,0:20:02,outgoing
264,335-702-9515,241-168-8259,10/22/2018 9:53,10/22/2018 10:44,0:51:32,incoming
265,306-378-4644,818-167-3374,7/31/2018 8:42,7/31/2018 9:07,0:25:16,incoming
266,985-935-9702,306-378-4644,1/1/2018 1:11,1/1/2018 1:44,0:33:43,incoming
267,241-168-8259,598-737-7459,11/9/2017 23:52,11/10/2017 0:01,0:09:13,outgoing
268,227-100-2967,614-619-2896,10/10/2017 4:04,10/10/2017 4:56,0:52:21,outgoing
269,241-168-8259,985-935-9702,11/18/2018 13:53,11/18/2018 14:05,0:12:53,outgoing
270,237-547-1013,818-167-3374,11/12/2017 11:27,11/12/2017 12:02,0:34:25,outgoing
271,227-100-2967,614-619-2896,6/5/2018 1:04,6/5/2018 1:58,0:53:08,incoming
272,398-674-8292,598-737-7459,11/30/2018 19:33,11/30/2018 20:24,0:51:40,outgoing
273,818-167-3374,241-168-8259,4/4/2019 14:44,4/4/2019 14:59,0:14:43,outgoing
274,985-935-9702,598-737-7459,11/24/2018 9:39,11/24/2018 9:54,0:14:52,outgoing
275,335-702-9515,818-167-3374,4/17/2017 10:27,4/17/2017 10:58,0:30:39,outgoing
276,818-167-3374,335-702-9515,6/21/2018 17:00,6/21/2018 17:00,0:00:27,outgoing
277,335-702-9515,241-168-8259,6/29/2017 17:50,6/29/2017 17:50,0:00:00,missed call
278,241-168-8259,985-935-9702,11/6/2017 2:59,11/6/2017 3:08,0:08:14,incoming
279,985-935-9702,306-378-4644,11/19/2018 9:58,11/19/2018 10:11,0:12:46,outgoing
280,241-168-8259,398-674-8292,4/7/2017 7:19,4/7/2017 7:37,0:17:58,incoming
281,398-674-8292,818-167-3374,2/26/2017 7:31,2/26/2017 7:31,0:00:00,missed call
282,818-167-3374,227-100-2967,5/27/2019 20:00,5/27/2019 20:02,0:02:14,incoming
283,241-168-8259,398-674-8292,12/8/2018 20:09,12/8/2018 21:06,0:57:08,outgoing
284,237-547-1013,398-674-8292,4/19/2019 2:11,4/19/2019 3:03,0:52:04,incoming
285,398-674-8292,306-378-4644,1/26/2019 15:19,1/26/2019 16:10,0:51:13,incoming
286,818-167-3374,306-378-4644,2/23/2018 16:48,2/23/2018 17:28,0:40:12,outgoing
287,306-378-4644,598-737-7459,9/25/2017 8:41,9/25/2017 9:35,0:53:19,incoming
288,598-737-7459,985-935-9702,10/24/2018 21:38,10/24/2018 21:38,0:00:00,missed call
